date,sector,sector_rank,sector_avg_momentum,code,name,signal_price,momentum,is_uptrend,ma20,ma60,volume_ratio,foreign_5d_net_buy_mil,passed_all_filters,selected,bb_pct,atr,avg_tr_pbmn_mil
2026-05-19,스페이스X(SpaceX),1,34.87,347700,스피어,48550,5.43,False,43122.0,44903.0,3.33,,False,False,1.065,3768.0,53051.2
2026-05-19,생명보험,2,14.13,032830,삼성생명,318000,25.44,True,279750.0,243925.0,0.84,,False,False,0.828,20179.0,131361.3
2026-05-19,생명보험,2,14.13,088350,한화생명,5970,21.84,True,5064.0,4938.0,2.01,,False,False,1.19,422.0,50628.5
2026-05-19,생명보험,2,14.13,003690,코리안리,14510,17.87,False,12472.0,12780.0,4.73,,False,False,1.177,644.0,6435.0
2026-05-19,생명보험,2,14.13,082640,동양생명,7740,-8.62,False,8214.0,8301.0,0.37,,False,False,0.207,295.0,5032.2
2026-05-19,손해보험,3,13.42,001450,현대해상,39050,28.45,True,31665.0,31422.0,5.32,,False,False,1.224,1800.0,21723.1
2026-05-19,손해보험,3,13.42,003690,코리안리,14590,18.52,False,12476.0,12781.0,4.73,,False,False,1.191,644.0,6435.0
2026-05-19,손해보험,3,13.42,000370,한화손해보험,7510,11.59,False,6723.0,6896.0,3.0,,False,False,1.206,448.0,4921.5
2026-05-19,손해보험,3,13.42,000540,흥국화재,4210,-4.86,False,4320.0,4569.0,2.18,,False,False,0.369,234.0,591.2
2026-05-20,국내 상장 중국기업,1,51.58,032580,피델릭스,5090,335.41,True,2253.0,1472.0,2.27,,False,False,1.02,548.0,11379.3
2026-05-20,국내 상장 중국기업,1,51.58,900260,로스웰,1570,-4.73,False,1607.0,1643.0,1.77,,False,False,0.159,46.0,44.4
2026-05-20,국내 상장 중국기업,1,51.58,900300,오가닉티코스메틱,119,-12.5,False,161.0,135.0,1.95,,False,False,0.285,31.0,14141.8
2026-05-20,국내 상장 중국기업,1,51.58,900250,크리스탈신소재,518,-17.91,False,573.0,585.0,0.62,,False,False,0.195,34.0,729.9
2026-05-20,국내 상장 중국기업,1,51.58,900290,GRT,3170,-42.36,False,3873.0,5093.0,0.29,,False,False,0.177,242.0,3273.9
2026-05-20,영화,2,16.0,018700,졸스,2960,75.67,False,1774.0,1778.0,2.01,,False,False,1.443,181.0,177.9
2026-05-20,영화,2,16.0,036420,콘텐트리중앙,6250,0.81,False,5812.0,6159.0,4.72,,False,False,0.85,354.0,526.4
2026-05-20,영화,2,16.0,079160,CJ CGV,4780,-1.85,False,4902.0,4935.0,1.11,,False,False,0.039,190.0,2399.5
2026-05-20,영화,2,16.0,086980,쇼박스,2685,-10.65,False,2919.0,2818.0,0.85,,False,False,-0.12,138.0,1680.8
2026-05-20,서울고속버스터미널 재개발 수혜,3,13.94,084670,동양고속,54900,36.4,False,42350.0,42678.0,4.24,,False,False,0.866,8211.0,31099.3
2026-05-20,서울고속버스터미널 재개발 수혜,3,13.94,004170,신세계,489500,31.23,True,440225.0,372083.0,0.88,,False,False,0.742,36393.0,38157.0
2026-05-20,서울고속버스터미널 재개발 수혜,3,13.94,000650,천일고속,261000,19.45,False,220250.0,227975.0,2.36,,False,False,0.758,38400.0,18856.5
2026-05-20,서울고속버스터미널 재개발 수혜,3,13.94,128820,대성산업,6555,-7.28,False,6978.0,7467.0,0.48,,False,False,0.234,599.0,11404.1
2026-05-20,서울고속버스터미널 재개발 수혜,3,13.94,006040,동원산업,35550,-10.11,False,38028.0,39013.0,0.56,,False,False,-0.093,1421.0,3325.4
2026-05-20,코로나19(진단/치료제/백신 개발 등),4,11.06,142280,녹십자엠에스,5740,41.73,True,4208.0,3860.0,5.97,,False,False,1.248,528.0,14658.4
2026-05-20,코로나19(진단/치료제/백신 개발 등),4,11.06,011000,진원생명과학,1662,25.72,True,1056.0,1014.0,3.21,,False,False,1.22,200.0,15612.7
2026-05-20,코로나19(진단/치료제/백신 개발 등),4,11.06,253840,수젠텍,7340,5.61,True,6190.0,5403.0,0.86,,False,False,0.985,869.0,39278.7
2026-05-20,코로나19(진단/치료제/백신 개발 등),4,11.06,261780,차백신연구소,3580,-0.69,True,3505.0,3450.0,2.98,0,True,True,0.546,634.0,24237.0
2026-05-20,코로나19(진단/치료제/백신 개발 등),4,11.06,084650,랩지노믹스,1374,-17.08,False,1357.0,1382.0,0.55,,False,False,0.557,130.0,12216.8
